round,rmse,nrmse,ClientId,Clients rmse,Clients nrmse
1,354.08275491156434,0.3403664060052364,"[2, 0, 1]","[356.0431192993098, 352.5269487990593, 353.67819663632383]","[0.33285124511560393, 0.34596911810033476, 0.34227885479977044]"
2,72.9815129003204,0.07010048895339717,"[1, 0, 2]","[72.56725412539744, 69.4207825677651, 76.95650200779866]","[0.07022835129287128, 0.068129392673735, 0.07194372289358525]"
3,72.98151311124856,0.0701004891564425,"[2, 1, 0]","[76.95650220100289, 72.56725433718388, 69.42078279555888]","[0.07194372307420457, 0.07022835149783166, 0.06812939289729128]"
