round,rmse,nrmse,Clients rmse,Clients nrmse
1,435.504877921213,0.41864062790023826,"[437.5061881050857, 433.96739228894785, 435.0410533696054]","[0.40900798685043344, 0.42589457772230865, 0.4210193191279728]"
2,109.61745457230582,0.10533980058542287,"[112.37416303052453, 107.43083113014349, 109.0473695562495]","[0.10505435453195813, 0.10543236490004451, 0.10553268232426596]"
3,109.61745477358427,0.10533980077912032,"[112.37416321887721, 109.04736975767307, 107.43083134420256]","[0.10505435470804193, 0.10553268251919747, 0.10543236511012158]"
