round,rmse,nrmse,ClientId,Clients rmse,Clients nrmse
1,328.53030302071187,0.3157901445140014,"[2, 1, 0]","[331.2037203602049, 328.2424217816383, 326.1447669202925]","[0.30962983058279314, 0.31766289608078047, 0.3200777068784306]"
2,139.27385198167684,0.13386266631709892,"[2, 1, 0]","[140.97191400951655, 139.4798891720454, 137.3697527634685]","[0.13178931022944892, 0.13498433657333192, 0.13481435214851592]"
3,140.50724503372015,0.13505079617120988,"[1, 2, 0]","[140.7417451385627, 142.0412140211034, 138.73877594149437]","[0.13620552187468626, 0.13278895836465024, 0.1361579082742931]"
