round,rmse,nrmse,Clients rmse,Clients nrmse
1,298.70862624072123,0.28712346922898313,"[301.2109693027581, 296.39096635081324, 298.52394306859225]","[0.28159074207699575, 0.29087739700645115, 0.28890226860350254]"
2,120.52979234164704,0.11581877879287276,"[119.91202794349806, 117.63414207681906, 124.043207004624]","[0.11604716375384083, 0.11544587025601932, 0.11596330236875817]"
3,120.52673732216557,0.11581583960302431,"[124.04030424314374, 117.63095538933112, 119.90895233402192]","[0.11596058868684549, 0.11544274284841653, 0.11604418727381091]"
