round,rmse,nrmse,Clients rmse,Clients nrmse
1,451.29322505765776,0.4338479046081031,"[451.34566709607753, 451.49091803330185, 451.043090043594]","[0.4219459922891241, 0.44309212465719094, 0.4365055968779941]"
2,52.5305293929381,0.0504819240349777,"[52.44043348472406, 53.71297226792596, 51.438182426164275]","[0.050750234787052866, 0.050214226112341886, 0.05048131120553833]"
3,46.75304845246753,0.044922758755161094,"[48.25998668864086, 45.33820505210078, 46.66095361666096]","[0.04511643615017536, 0.04449480776310315, 0.045157032352204786]"
